In questo file sono raccolti i dati relativi alla quantità di radiazione solare media (espressa in W/m^2) che raggiunge la terra ad una data latitudine, con un datapoint ogni migliaio di anni, per l'ultimo milione di anni. Questo dataset è stato calcolato usando il calcolatore di Jonathan Levine (jlevine@colgate.edu). 
Time (kyrs BP)	Ins_0 (W/m2)	Ins_65N (W/m2)
0	451.2597	214.2688
1	451.0636	214.6176
2	450.7545	214.9646
3	450.3573	215.2988
4	449.8695	215.6121
5	449.3638	215.896
6	448.8408	216.1407
7	448.3819	216.337
8	447.9797	216.4759
9	447.7061	216.5506
10	447.5541	216.5553
11	447.545	216.4878
12	447.6848	216.3484
13	447.9477	216.1397
14	448.3337	215.868
15	448.818	215.5403
16	449.3795	215.1661
17	449.9852	214.7554
18	450.6083	214.3192
19	451.2004	213.8695
20	451.7377	213.4184
21	452.1849	212.977
22	452.5192	212.5576
23	452.7198	212.1694
24	452.782	211.8284
25	452.7375	211.5411
26	452.574	211.3164
27	452.3397	211.1579
28	452.0589	211.0724
29	451.7522	211.0603
30	451.4662	211.1221
31	451.1812	211.2569
32	450.939	211.4605
33	450.7293	211.729
34	450.5436	212.0562
35	450.3951	212.4351
36	450.2567	212.8556
37	450.1572	213.3087
38	450.0599	213.7833
39	449.9585	214.2674
40	449.8858	214.7478
41	449.8196	215.2146
42	449.7387	215.6535
43	449.6645	216.0538
44	449.5889	216.404
45	449.52	216.6953
46	449.4456	216.9197
47	449.3543	217.0697
48	449.2722	217.1437
49	449.1754	217.1391
50	449.0835	217.0586
51	448.9796	216.9062
52	448.8698	216.6885
53	448.7861	216.4143
54	448.7297	216.0926
55	448.6842	215.7319
56	448.6893	215.3427
57	448.7455	214.9339
58	448.8711	214.5158
59	449.0636	214.097
60	449.3309	213.6864
61	449.6538	213.2933
62	450.0529	212.9248
63	450.5019	212.5883
64	451.0156	212.2906
65	451.5314	212.0342
66	452.0513	211.8237
67	452.542	211.6613
68	452.9829	211.5468
69	453.3525	211.48
70	453.5856	211.4613
71	453.6835	211.4891
72	453.6056	211.5633
73	453.3613	211.6852
74	452.9587	211.854
75	452.3974	212.0675
76	451.7309	212.3237
77	451.0233	212.6191
78	450.3349	212.9471
79	449.667	213.2999
80	449.0802	213.6712
81	448.6138	214.0522
82	448.2763	214.435
83	448.0893	214.8133
84	448.0271	215.1781
85	448.0975	215.524
86	448.2973	215.8436
87	448.6117	216.1296
88	449.0289	216.3747
89	449.5158	216.5708
90	450.001	216.7128
91	450.5217	216.7943
92	450.9878	216.811
93	451.3639	216.7628
94	451.6026	216.6491
95	451.6499	216.4698
96	451.5016	216.2397
97	451.1948	215.9628
98	450.7235	215.6478
99	450.1319	215.3059
100	449.5937	214.9436
101	449.0831	214.5684
102	448.7013	214.1843
103	448.4939	213.7963
104	448.4954	213.4098
105	448.6793	213.0367
106	449.0491	212.6886
107	449.5727	212.3766
108	450.2679	212.1127
109	451.0516	211.9058
110	451.8588	211.7598
111	452.7394	211.6775
112	453.5862	211.6572
113	454.2795	211.6948
114	454.8774	211.7844
115	455.1766	211.9245
116	455.1692	212.1201
117	454.8064	212.3541
118	454.117	212.6541
119	453.1776	213.0082
120	452.0342	213.4095
121	450.8359	213.8488
122	449.692	214.3108
123	448.6726	214.7765
124	447.844	215.2288
125	447.249	215.648
126	446.8901	216.0188
127	446.722	216.3334
128	446.8016	216.5849
129	447.0306	216.762
130	447.4341	216.8612
131	447.9779	216.8787
132	448.5885	216.8136
133	449.318	216.6686
134	450.0248	216.4485
135	450.758	216.1611
136	451.4167	215.8134
137	451.962	215.4183
138	452.3549	214.9903
139	452.5702	214.5425
140	452.6173	214.0925
141	452.4946	213.6539
142	452.2384	213.2409
143	451.9017	212.8637
144	451.4871	212.5321
145	451.11	212.2508
146	450.7658	212.0246
147	450.4783	211.8572
148	450.2659	211.7496
149	450.1281	211.7035
150	450.0766	211.7194
151	450.1011	211.7994
152	450.1766	211.9372
153	450.2965	212.1303
154	450.4863	212.375
155	450.6865	212.6618
156	450.8797	212.9822
157	451.1083	213.3276
158	451.3391	213.6869
159	451.5443	214.0491
160	451.6734	214.4063
161	451.7733	214.7478
162	451.7897	215.065
163	451.6997	215.3549
164	451.4879	215.6041
165	451.1497	215.8183
166	450.708	215.991
167	450.1903	216.1198
168	449.5867	216.2047
169	449.0195	216.2446
170	448.4503	216.2383
171	447.9321	216.1872
172	447.5656	216.0886
173	447.341	215.9441
174	447.2814	215.7562
175	447.3741	215.5303
176	447.6458	215.2741
177	448.0603	214.9926
178	448.6245	214.6956
179	449.3134	214.3896
180	450.1105	214.0826
181	450.985	213.7789
182	451.89	213.4845
183	452.7723	213.2003
184	453.5748	212.9282
185	454.2329	212.6703
186	454.6953	212.4316
187	454.8986	212.2098
188	454.8065	212.0288
189	454.4024	211.8879
190	453.7571	211.7995
191	452.8909	211.766
192	451.9535	211.793
193	451.038	211.8777
194	450.2123	212.0147
195	449.5323	212.1997
196	449.0537	212.4264
197	448.7511	212.6939
198	448.668	212.9993
199	448.7245	213.3399
200	448.926	213.7147
201	449.3033	214.1184
202	449.7628	214.541
203	450.2515	214.9729
204	450.8504	215.4023
205	451.4428	215.8156
206	451.9775	216.1985
207	452.3794	216.5393
208	452.6026	216.8302
209	452.5877	217.0585
210	452.3094	217.2348
211	451.7356	217.3399
212	450.9411	217.3785
213	450.0352	217.3509
214	449.0548	217.2574
215	448.2091	217.0991
216	447.4755	216.8752
217	446.9995	216.5816
218	446.7381	216.2226
219	446.7593	215.8015
220	447.0241	215.3308
221	447.5419	214.8297
222	448.252	214.3121
223	449.1078	213.7969
224	450.1465	213.2989
225	451.2356	212.832
226	452.3655	212.4065
227	453.5199	212.0314
228	454.5129	211.7062
229	455.3605	211.4346
230	455.9545	211.217
231	456.1645	211.067
232	455.9788	210.9792
233	455.3959	210.9817
234	454.5118	211.0752
235	453.4471	211.2609
236	452.2622	211.5322
237	451.1688	211.8794
238	450.1838	212.2888
239	449.365	212.7449
240	448.7357	213.2335
241	448.3196	213.7412
242	448.0939	214.2549
243	448.0147	214.7625
244	448.0763	215.2523
245	448.2574	215.7111
246	448.5399	216.1259
247	448.8936	216.485
248	449.2528	216.7761
249	449.6489	216.9936
250	449.9782	217.1306
251	450.273	217.1845
252	450.4696	217.1579
253	450.5711	217.053
254	450.5783	216.8735
255	450.5016	216.6334
256	450.3492	216.3407
257	450.157	216.0061
258	449.9521	215.6391
259	449.7567	215.2514
260	449.5965	214.8535
261	449.505	214.4542
262	449.4418	214.0626
263	449.4537	213.6873
264	449.5157	213.3367
265	449.6378	213.0158
266	449.7962	212.7317
267	450.0002	212.4886
268	450.2344	212.2888
269	450.5081	212.1348
270	450.7927	212.0271
271	451.1125	211.9658
272	451.4211	211.9494
273	451.7542	211.9755
274	452.0753	212.0432
275	452.369	212.1482
276	452.6113	212.2866
277	452.7854	212.4552
278	452.877	212.648
279	452.8394	212.8636
280	452.6669	213.0953
281	452.3606	213.3443
282	451.8985	213.6052
283	451.3294	213.876
284	450.6512	214.1512
285	449.971	214.4268
286	449.2756	214.6978
287	448.6518	214.956
288	448.1478	215.1945
289	447.7541	215.4075
290	447.5265	215.589
291	447.4767	215.7373
292	447.5617	215.8449
293	447.7955	215.9121
294	448.1692	215.938
295	448.6652	215.9206
296	449.2584	215.8588
297	449.9659	215.7524
298	450.6529	215.6014
299	451.318	215.4083
300	451.9098	215.1756
301	452.3992	214.9062
302	452.7049	214.6114
303	452.7972	214.2944
304	452.6692	213.9706
305	452.3486	213.6514
306	451.8535	213.3473
307	451.281	213.0656
308	450.7127	212.8125
309	450.2045	212.5905
310	449.814	212.4031
311	449.5582	212.2535
312	449.4752	212.1453
313	449.5215	212.0819
314	449.7478	212.0732
315	450.0665	212.1193
316	450.5063	212.2229
317	450.9851	212.3816
318	451.5011	212.593
319	452.0001	212.8501
320	452.4012	213.1435
321	452.7326	213.4652
322	452.9259	213.8055
323	452.8964	214.1608
324	452.6333	214.5188
325	452.1719	214.8843
326	451.4822	215.2412
327	450.6891	215.5839
328	449.8064	215.9017
329	448.9876	216.1814
330	448.2151	216.412
331	447.6174	216.5821
332	447.1712	216.682
333	446.9415	216.7033
334	446.911	216.6437
335	447.0873	216.5089
336	447.4123	216.2996
337	447.9061	216.0247
338	448.5233	215.6937
339	449.2294	215.3175
340	450.0249	214.9061
341	450.7883	214.4721
342	451.5038	214.0263
343	452.1426	213.5798
344	452.6355	213.144
345	452.9422	212.732
346	453.056	212.3528
347	452.984	212.0218
348	452.7399	211.7473
349	452.4164	211.5359
350	452.0162	211.3926
351	451.6196	211.3189
352	451.2627	211.3137
353	450.978	211.375
354	450.776	211.5021
355	450.655	211.6883
356	450.616	211.9316
357	450.6221	212.2242
358	450.6628	212.5565
359	450.7064	212.9233
360	450.7281	213.3141
361	450.7186	213.7188
362	450.6457	214.1293
363	450.4977	214.5356
364	450.2753	214.9301
365	449.9901	215.3024
366	449.6621	215.6466
367	449.316	215.9526
368	448.9888	216.2128
369	448.6971	216.4211
370	448.4759	216.5722
371	448.341	216.6627
372	448.2989	216.6918
373	448.3557	216.6593
374	448.4952	216.5675
375	448.7061	216.4204
376	448.9651	216.2237
377	449.2571	215.9834
378	449.5466	215.7049
379	449.8122	215.3962
380	450.0286	215.0647
381	450.184	214.7177
382	450.286	214.3634
383	450.3273	214.01
384	450.3329	213.663
385	450.3164	213.3289
386	450.3221	213.0138
387	450.3592	212.7222
388	450.4409	212.4584
389	450.5955	212.2275
390	450.803	212.0305
391	451.0858	211.8726
392	451.3973	211.7558
393	451.7274	211.6805
394	452.0565	211.6475
395	452.3594	211.657
396	452.5795	211.7069
397	452.6979	211.798
398	452.69	211.9296
399	452.5354	212.0992
400	452.2494	212.3116
401	451.8449	212.5617
402	451.3381	212.849
403	450.7809	213.1691
404	450.2363	213.5139
405	449.7051	213.877
406	449.2571	214.2505
407	448.8921	214.6242
408	448.6384	214.989
409	448.4891	215.3375
410	448.432	215.6604
411	448.4825	215.9495
412	448.5936	216.1972
413	448.7565	216.3972
414	448.972	216.5421
415	449.1706	216.6276
416	449.3718	216.6505
417	449.5233	216.6086
418	449.6388	216.5032
419	449.6881	216.3366
420	449.6921	216.1143
421	449.6656	215.8425
422	449.6068	215.5287
423	449.5619	215.1817
424	449.5493	214.8093
425	449.5906	214.4227
426	449.6824	214.0288
427	449.8551	213.6386
428	450.0899	213.2618
429	450.3848	212.907
430	450.7194	212.5826
431	451.0739	212.2964
432	451.4225	212.0544
433	451.7311	211.8632
434	451.9879	211.7258
435	452.1619	211.6442
436	452.2301	211.623
437	452.1842	211.6601
438	452.0335	211.7571
439	451.7961	211.9117
440	451.4712	212.1193
441	451.119	212.3751
442	450.7495	212.6722
443	450.4023	213.002
444	450.0994	213.3548
445	449.8532	213.7195
446	449.6811	214.0867
447	449.5844	214.4446
448	449.5609	214.7842
449	449.5953	215.0959
450	449.6776	215.3698
451	449.7794	215.5994
452	449.8851	215.7773
453	449.9703	215.8997
454	450.0181	215.9643
455	449.9951	215.9675
456	449.9051	215.9159
457	449.7484	215.813
458	449.5442	215.6628
459	449.2981	215.473
460	449.0753	215.2504
461	448.8928	215.0016
462	448.7686	214.7352
463	448.7566	214.4567
464	448.8552	214.1732
465	449.0859	213.8949
466	449.4255	213.626
467	449.8663	213.3766
468	450.3948	213.1522
469	450.988	212.9581
470	451.6074	212.7966
471	452.2043	212.6691
472	452.731	212.5769
473	453.1368	212.519
474	453.3692	212.4949
475	453.3808	212.5036
476	453.1571	212.552
477	452.7086	212.6401
478	452.0906	212.7666
479	451.3333	212.9314
480	450.5391	213.1285
481	449.7878	213.3515
482	449.1687	213.5891
483	448.673	213.8365
484	448.3689	214.0831
485	448.2528	214.3263
486	448.2996	214.5592
487	448.4867	214.7805
488	448.8483	214.986
489	449.2976	215.171
490	449.8287	215.331
491	450.3951	215.4609
492	450.9515	215.5556
493	451.4373	215.6116
494	451.821	215.6265
495	452.0084	215.6038
496	451.9781	215.5399
497	451.7597	215.4491
498	451.3248	215.3292
499	450.764	215.1893
500	450.1538	215.0305
501	449.5667	214.857
502	449.034	214.6675
503	448.6778	214.4591
504	448.5037	214.2335
505	448.4861	213.9954
506	448.6453	213.7478
507	448.9825	213.4992
508	449.4302	213.2545
509	449.9718	213.0216
510	450.6132	212.8089
511	451.2526	212.6174
512	451.874	212.4526
513	452.4243	212.3162
514	452.8694	212.2121
515	453.1622	212.1426
516	453.3022	212.1102
517	453.241	212.1184
518	453.0206	212.1733
519	452.6446	212.2733
520	452.1605	212.4209
521	451.6394	212.6146
522	451.0774	212.8509
523	450.5514	213.1249
524	450.0875	213.4289
525	449.6715	213.7576
526	449.3139	214.1033
527	449.0344	214.4558
528	448.8135	214.808
529	448.6406	215.1487
530	448.5319	215.4722
531	448.4588	215.7657
532	448.4299	216.0223
533	448.4286	216.233
534	448.4715	216.3926
535	448.5412	216.4956
536	448.6667	216.5387
537	448.8305	216.5199
538	449.0429	216.4393
539	449.2896	216.2993
540	449.5846	216.1023
541	449.9014	215.8528
542	450.2373	215.5583
543	450.5636	215.226
544	450.8639	214.8644
545	451.1134	214.4836
546	451.2823	214.0938
547	451.3706	213.7066
548	451.368	213.3321
549	451.2673	212.9814
550	451.0973	212.6621
551	450.8713	212.3818
552	450.6339	212.1456
553	450.4407	211.9571
554	450.2768	211.8178
555	450.1966	211.7303
556	450.2196	211.6949
557	450.3143	211.7107
558	450.5295	211.7796
559	450.7974	211.899
560	451.1613	212.0668
561	451.575	212.2772
562	452.0226	212.5225
563	452.4163	212.7971
564	452.7882	213.0902
565	453.0257	213.3953
566	453.1351	213.7039
567	453.0378	214.0056
568	452.7313	214.3139
569	452.2125	214.6124
570	451.4578	214.9002
571	450.6088	215.176
572	449.719	215.4348
573	448.8132	215.67
574	448.0144	215.8749
575	447.4015	216.0399
576	446.9697	216.16
577	446.7513	216.2321
578	446.7364	216.2544
579	446.9519	216.2322
580	447.3586	216.1661
581	447.9492	216.0606
582	448.6619	215.9212
583	449.4925	215.7507
584	450.4001	215.5535
585	451.3868	215.333
586	452.2757	215.0903
587	453.0865	214.8283
588	453.6821	214.5493
589	454.0128	214.2675
590	454.0137	213.9731
591	453.6949	213.6986
592	453.0726	213.4478
593	452.2697	213.228
594	451.3444	213.0435
595	450.4628	212.8957
596	449.7563	212.7763
597	449.1973	212.6867
598	448.887	212.6202
599	448.7952	212.5793
600	448.9426	212.5695
601	449.2286	212.5909
602	449.7195	212.6487
603	450.3181	212.7426
604	450.9595	212.8689
605	451.6959	213.0258
606	452.4277	213.2031
607	453.077	213.3943
608	453.537	213.5918
609	453.8444	213.7895
610	453.8574	213.99
611	453.5677	214.1896
612	452.9923	214.3957
613	452.1741	214.6036
614	451.2139	214.812
615	450.2245	215.0133
616	449.3018	215.2005
617	448.5146	215.363
618	447.9372	215.4889
619	447.5378	215.575
620	447.3748	215.6146
621	447.3908	215.6088
622	447.5908	215.561
623	447.9427	215.4727
624	448.394	215.347
625	448.9602	215.1891
626	449.5532	215.0021
627	450.1519	214.7918
628	450.7282	214.5624
629	451.2364	214.3193
630	451.6541	214.0705
631	451.9536	213.8213
632	452.1307	213.5815
633	452.1713	213.3544
634	452.1151	213.1541
635	451.9784	212.9827
636	451.7731	212.845
637	451.5441	212.7431
638	451.3007	212.6801
639	451.0552	212.6552
640	450.8335	212.6678
641	450.6281	212.716
642	450.4356	212.7978
643	450.2486	212.9116
644	450.0766	213.0526
645	449.9071	213.2178
646	449.7461	213.4038
647	449.5994	213.6038
648	449.4866	213.8154
649	449.4033	214.0303
650	449.3709	214.2433
651	449.3974	214.4482
652	449.4806	214.6377
653	449.6408	214.8076
654	449.8556	214.9532
655	450.12	215.0691
656	450.4078	215.1528
657	450.7228	215.2013
658	450.9963	215.2149
659	451.2291	215.1923
660	451.3732	215.1396
661	451.3946	215.0506
662	451.2862	214.9386
663	451.0227	214.807
664	450.6874	214.6607
665	450.2565	214.5057
666	449.7678	214.344
667	449.3501	214.1792
668	449.0105	214.012
669	448.7583	213.8458
670	448.6692	213.6794
671	448.727	213.5177
672	448.9661	213.3687
673	449.3314	213.2319
674	449.8197	213.115
675	450.4203	213.0199
676	451.0943	212.9491
